Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,headline,article_time,subheaders
2023-08-31 00:00:00-04:00,445.4197199404886,446.5834352383544,443.9502833371938,444.1376647949219,66084600,0.0,0.0,0.0,Stock Rally Wanes at End of Best Week Since June: Markets Wrap,"September 1, 2023 at 6:22 AM GMT+8",nan
2023-09-01 00:00:00-04:00,446.918792840377,447.41189562696695,443.4769149242879,444.9660949707031,58875700,0.0,0.0,0.0,,,
2023-09-05 00:00:00-04:00,444.51243547556913,444.837870062432,442.97395723537164,443.04296875,55166200,0.0,0.0,0.0,Stocks Retreat After Hot ISM Fuels Fed-Hike Wagers: Markets Wrap,"September 6, 2023 at 6:15 AM GMT+8","['US service gauge rises to six-month high, topping forecasts', 'Fed’s Collins says patience needed, more tightening possible']"
2023-09-06 00:00:00-04:00,442.2145570794409,442.3230553388208,437.687877273051,440.06463623046875,70758500,0.0,0.0,0.0,Traders Shun Risk Amid Apple’s $190 Billion Rout: Markets Wrap,"September 7, 2023 at 6:39 AM GMT+8","['Apple extends two-day drop on concern over China iPhone curbs', 'US initial jobless claims fall to lowest level since February']"
2023-09-07 00:00:00-04:00,436.99751342403,439.40385730002527,436.6424938832786,438.7135314941406,70355400,0.0,0.0,0.0,Dollar Bulls Vindicated in Longest Run Since 2005: Markets Wrap,"September 8, 2023 at 6:27 AM GMT+8","['Greenback posts eighth straight up week amid overbought calls', 'S&P 500 edges higher on Friday, following a three-day decline']"
2023-09-08 00:00:00-04:00,438.7628249779414,440.9423307259968,438.3979337550321,439.374267578125,61659700,0.0,0.0,0.0,,,
2023-09-11 00:00:00-04:00,442.05676066553815,442.57944839674695,440.3111876982796,442.2638854980469,60180100,0.0,0.0,0.0,Nasdaq 100 Drops 1% as Apple Slides After Event: Markets Wrap,"September 12, 2023 at 6:21 AM GMT+8","['Iphone maker unveils new products; Oracle tumbles on results', 'Traders await Wednesday’s CPI for clues on Fed policy outlook']"
2023-09-12 00:00:00-04:00,440.7845780600457,442.3427695704512,439.24609982565886,439.8377990722656,67565400,0.0,0.0,0.0,"Wall Street Yawns at ‘Not Great, No Disaster’ CPI: Markets Wrap","September 13, 2023 at 6:13 AM GMT+8","['Stocks, bonds, dollar see small moves on mixed inflation data', 'American Air cuts earnings outlook amid higher fuel costs']"
2023-09-13 00:00:00-04:00,440.0646694356751,441.53410616679173,438.9403805915084,440.3506774902344,60199300,0.0,0.0,0.0,,,
2023-09-14 00:00:00-04:00,442.87533846861635,444.8575911803878,441.543954942044,444.14752197265625,83430800,0.0,0.0,0.0,,,
2023-09-15 00:00:00-04:00,442.5274240679134,442.8639130840386,438.3509553811879,438.7962951660156,111761400,1.583,0.0,0.0,,,
2023-09-18 00:00:00-04:00,438.4795856183431,440.3797926274177,437.9946500109728,439.0536193847656,55752200,0.0,0.0,0.0,,,
2023-09-19 00:00:00-04:00,438.1134381205546,438.7171612482294,435.4017128068742,438.14312744140625,66514600,0.0,0.0,0.0,,,
2023-09-20 00:00:00-04:00,439.42971187500234,439.85526885225755,433.9072568669678,434.1151123046875,82562600,0.0,0.0,0.0,Wall Street Trading Roiled by ‘Post-Fed Hangover’: Markets Wrap,"September 21, 2023 at 6:16 AM GMT+8","['Jobless claims decline to 201,000, lowest level since January', 'BOE keeps rates unchanged for first time in almost two years']"
2023-09-21 00:00:00-04:00,431.2054476677186,431.47265154709424,426.7815577814529,426.9399108886719,103976100,0.0,0.0,0.0,,,
2023-09-22 00:00:00-04:00,427.9889773060859,429.6219503211949,425.55433224074227,425.97991943359375,100829700,0.0,0.0,0.0,,,
2023-09-25 00:00:00-04:00,424.74280880323306,427.81080585893665,424.29743880339646,427.771240234375,70874500,0.0,0.0,0.0,"Stocks Sink as Bears Take Charge, Dollar Rallies: Markets Wrap","September 26, 2023 at 6:10 AM GMT+8","['Dollar notches five-day winning streak as risk assets sell off', 'S&P 500, Nasdaq 100 both fall 1.5% to three-month lows']"
2023-09-26 00:00:00-04:00,424.66360277616184,425.38608313731237,420.6355807099772,421.4867248535156,96168400,0.0,0.0,0.0,,,
2023-09-27 00:00:00-04:00,422.68424835223726,423.2582821384515,417.93377596991115,421.65496826171875,104705800,0.0,0.0,0.0,,,
2023-09-28 00:00:00-04:00,421.09083860570615,425.81162130299634,420.48711554641665,424.0994567871094,92258300,0.0,0.0,0.0,,,
2023-09-29 00:00:00-04:00,427.21700024243137,427.395136153245,421.5164094742719,423.0702209472656,115078500,0.0,0.0,0.0,,,
2023-10-02 00:00:00-04:00,422.2190929853552,424.1786786876588,420.0813713654148,422.9019775390625,83798600,0.0,0.0,0.0,,,
2023-10-03 00:00:00-04:00,420.6751722493026,422.9613403818918,415.8455084219706,417.240966796875,103760600,0.0,0.0,0.0,,,
